Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2014,201405,Imports,Belgium,Switzerland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,163768
2014,201403,Exports,Belgium,Cameroon,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,12497
2014,201410,Exports,Belgium,Somalia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,4342
2014,201409,Imports,Belgium,Germany,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,34922004
2014,201404,Exports,Belgium,Portugal,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,3886
2014,201405,Exports,Belgium,Slovakia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,11239
2014,201403,Exports,Belgium,Cabo Verde,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,85630
2014,201407,Imports,Belgium,Poland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,250614
2014,201403,Exports,Belgium,Sweden,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,2074
2014,201403,Exports,Belgium,China,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,640967
2014,201410,Exports,Belgium,Togo,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,16434
2014,201404,Exports,Belgium,Czech Rep.,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,133010
2014,201403,Exports,Belgium,Poland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,1194040
2014,201403,Exports,Belgium,Comoros,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,5571
2014,201403,Exports,Belgium,Dem.Rep. of the Congo,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,25082
2014,201404,Exports,Belgium,Hungary,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,133890
2014,201410,Imports,Belgium,Finland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,41290
2014,201408,Imports,Belgium,Finland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,46002
2014,201403,Exports,Belgium,Luxembourg,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,954107
2014,201410,Exports,Belgium,Ukraine,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,183
2014,201408,Imports,Belgium,Greece,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,127
2014,201412,Exports,Belgium,Germany,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1446467
2014,201406,Exports,Belgium,Hungary,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,39234
2014,201406,Exports,Belgium,"Other Asia, nes",Milk and cream; concentrated or containing added sugar or other sweetening matter,402,202423
2014,201410,Exports,Belgium,Netherlands,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,12635297
2014,201406,Exports,Belgium,Norway,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,133
2014,201409,Exports,Belgium,Dem.Rep. of the Congo,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,5646
2014,201408,Imports,Belgium,Germany,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,10821464
2014,201412,Exports,Belgium,France,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,11736467
2014,201408,Imports,Belgium,France,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,6849792
2014,201402,Imports,Belgium,France,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,9762290
2014,201406,Exports,Belgium,Bunkers,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,128
2014,201406,Imports,Belgium,France,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,5865467
2014,201405,Exports,Belgium,United Kingdom,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,3366746
2014,201409,Exports,Belgium,Cuba,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1937324
2014,201410,Imports,Belgium,Germany,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,8026627
2014,201410,Exports,Belgium,Germany,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,3312205
2014,201406,Exports,Belgium,Denmark,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,333775
2014,201409,Exports,Belgium,Benin,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,217036
2014,201406,Exports,Belgium,Portugal,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,37589
2014,201405,Exports,Belgium,Germany,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,2172306
2014,201409,Exports,Belgium,Ethiopia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,23267
2014,201401,Exports,Belgium,Ghana,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,699269
2014,201404,Exports,Belgium,Austria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,2789
2014,201409,Imports,Belgium,Austria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,9317
2014,201403,Exports,Belgium,Cyprus,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,17861
2014,201407,Exports,Belgium,Finland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,401,2
